서울역

5           20 40 51 
6           00 07 15 22 26 36 41 50 56 
7           00 05 14 23 29 34 36 42 48 57 
8           01 06 12 16 20 28 32 39 47 51 56 
9           00 03 10 15 21 29 38 40 45 50 57 
10          08 18 27 29 34 40 47 56 
11          02 06 11 17 24 31 35 41 45 49 58 
12          01 06 11 19 28 30 36 41 48 57 59 
13          09 19 28 32 37 48 55 
14          00 05 08 12 18 24 28 34 41 51 57 
15          02 11 13 20 26 30 39 47 53 
16          02 04 11 16 21 25 35 38 45 52 
17          03 10 16 20 26 35 41 45 48 55 
18          02 10 16 20 25 30 35 39 44 52 57 
19          01 05 11 22 27 33 43 45 49 55 
20          01 07 13 17 22 26 30 35 41 50 52 56 
21          00 02 06 10 15 23 32 39 48 55
22          05 15 26 38 49 
23          00

공덕

12 19 24 36 43 55             7     10 22 38 44 
06 19 26 34 49           8     01 18 28 43 54   
05 23 35 53 58                     9   06 14 25 39 49 57  
09 18 26 35 47 55          10    07 17 27 36 54  
10 24 34 48                  11    06 15 26 44 51 
05 22 28 34 48                12    03 19 27 37 47 57 
05 18 26 36 47 54               13    07 22 36 45 55 
04 14 24 38 53               14    05 16 34 43 54  
01 12 25 34 49 57            15    04 12 29 42 51 
14 19 30 37 53               16    06 17 33 42 54 
07 18 27 40 51               17    05 16 23 41 50 
00 11 26 36 41 59            18    04 15 26 40 50 
13 27 38 46 56               19    03 13 22 32 
06 18 28 41 59               20    00 13 23 33 45 57  
08 22 33 43 52               21    08 21 34 41 52 
09 26 41 56                  22    09 18 30 35 44 53 
14 28 45                     23    01 10 17 26 33 43 53  
02 17                        0     04 16 


